Bets,Wins,Win%,Places,Placepercent,ROI(SP),ROI(BF),ROI Lay(BF),ROI Lay(SP),Places BF,Place% BF,ROI Place BF,ROI Lay Place BF,Max Odds,A/E,Trainer,Course,Gender
12,4,33.33,9,75,29.17,44.25,-6.41,-14.97,9,75,3.36,-3.84,11,1,"Appleby, Charlie",Newmarket (July),Female
10,4,40,8,80,39.4,58.18,-6.74,-18.26,8,80,2.71,-3.06,7.5,1.37,"Appleby, Charlie",Newmarket (Rowley),Female
6,0,0,1,16.67,-100,-100,5.7,0.36,1,16.67,0.13,-0.65,101,0,"Appleby, M",Chelmsford City,Female
5,0,0,1,20,-100,-100,4.75,0.72,1,20,0.58,-1.02,101,0,"Appleby, M",Nottingham,Female
5,0,0,0,0,-100,-100,4.75,0.41,0,0,-5,4.75,101,0,"Attwater, M J",Kempton,Female
5,0,0,1,20,-100,-100,4.75,0.47,1,20,2.38,-2.92,67,0,"Baker, George",Kempton,Female
5,0,0,0,0,-100,-100,4.75,2.72,0,0,-5,4.75,41,0,"Balding, A M",Goodwood,Female
7,0,0,0,0,-100,-100,6.65,4.59,0,0,-7,6.65,29,0,"Balding, A M",Newbury,Female
6,3,50,4,66.67,165.17,190.35,-12.33,-32.97,4,66.67,3.03,-3.39,9,2.36,"Beckett, R M",Newmarket (Rowley),Female
5,0,0,0,0,-100,-100,4.75,2.38,0,0,-5,4.75,51,0,"Bell, M L W",Leicester,Female
9,0,0,3,33.33,-100,-100,8.55,2.24,3,33.33,10.35,-11.51,41,0,"Bell, M L W",Newmarket (July),Female
5,0,0,0,0,-100,-100,4.75,1.18,0,0,-5,4.75,67,0,"Bell, M L W",Newmarket (Rowley),Female
5,2,40,3,60,380,484.54,-25.81,-31.85,3,60,3.8,-4.21,19,4.35,"Bell, M L W",Yarmouth,Female
6,0,0,0,0,-100,-100,5.7,0.37,0,0,-6,5.7,101,0,"Blanshard, M",Kempton,Female
10,0,0,2,20,-100,-100,9.5,1.72,2,20,-3.5,2.86,67,0,"Bolger, J S",Naas,Female
15,0,0,2,13.33,-100,-100,14.25,2.64,2,13.33,-6.44,5.44,67,0,"Botti, M",Kempton,Female
5,0,0,3,60,-100,-100,4.75,2.59,3,60,10.28,-11.03,34,0,"Botti, M",Lingfield,Female
6,0,0,0,0,-100,-100,5.7,2.97,0,0,-6,5.7,41,0,"Botti, M",Yarmouth,Female
5,0,0,0,0,-100,-100,4.75,1.26,0,0,-5,4.75,67,0,"Bromhead, Henry De",Dundalk,Female
6,2,33.33,2,33.33,175,213.58,-13.9,-22.84,2,33.33,-0.19,-0.21,13,2.86,"Burke, K R",Carlisle,Female
11,0,0,2,18.18,-100,-100,10.45,2.83,3,27.27,-2.05,1.34,51,0,"Burke, K R",Haydock,Female
6,0,0,1,16.67,-100,-100,5.7,3.41,1,16.67,3.55,-4.25,34,0,"Burke, K R",Thirsk,Female
6,0,0,2,33.33,-100,-100,5.7,10.68,2,33.33,-1.85,1.54,17,0,"Burrows, Owen",Kempton,Female
5,0,0,0,0,-100,-100,4.75,1.17,0,0,-5,4.75,51,0,"Candy, H",Kempton,Female
5,0,0,0,0,-100,-100,4.75,2.59,0,0,-5,4.75,51,0,"Channon, M R",Ascot,Female
14,0,0,1,7.14,-100,-100,13.3,2.07,1,7.14,-12.53,11.86,51,0,"Channon, M R",Newbury,Female
7,0,0,1,14.29,-100,-100,6.65,6.17,1,14.29,-5.7,5.38,34,0,"Channon, M R",Windsor,Female
5,0,0,1,20,-100,-100,4.75,1.12,1,20,10.25,-11.2,67,0,"Clover, Tom",Kempton,Female
6,0,0,0,0,-100,-100,5.7,2.3,0,0,-6,5.7,51,0,"Condon, K J",Curragh,Female
7,0,0,1,14.29,-100,-100,6.65,2.75,1,14.29,-2.77,2.3,34,0,"Cowell, R M H",Yarmouth,Female
12,0,0,1,8.33,-100,-100,11.4,2.93,1,8.33,-8.82,8.16,51,0,"Cox, C G",Kempton,Female
5,2,40,2,40,50,54.57,-3.18,-2.94,2,40,-1.85,1.64,34,2.9,"Cox, C G",Nottingham,Female
5,0,0,1,20,-100,-100,4.75,0.47,1,20,-1.29,0.95,101,0,"Coyle, Tony",Thirsk,Female
6,0,0,0,0,-100,-100,5.7,2.86,0,0,-6,5.7,29,0,"Dalgleish, Keith",Musselburgh,Female
5,0,0,0,0,-100,-100,4.75,4.31,0,0,-5,4.75,26,0,"Dalgleish, Keith",Ripon,Female
11,0,0,0,0,-100,-100,10.45,2.88,0,0,-11,10.45,67,0,"Dods, M",Thirsk,Female
5,0,0,0,0,-100,-100,4.75,1.32,1,20,2.08,-2.6,101,0,"Duffield, Mrs A",Newcastle,Female
6,0,0,0,0,-100,-100,5.7,1.02,0,0,-6,5.7,101,0,"Dunlop, E A L",Newmarket (July),Female
6,0,0,1,16.67,-100,-100,5.7,0.64,1,16.67,17.8,-19.25,67,0,"Dunlop, H J L",Kempton,Female
5,0,0,1,20,-100,-100,4.75,0.72,1,20,0.94,-1.4,101,0,"Easterby, M W",Redcar,Female
12,0,0,1,8.33,-100,-100,11.4,1.5,1,8.33,-1.98,0.95,51,0,"Easterby, T D",Beverley,Female
7,0,0,0,0,-100,-100,6.65,1.74,0,0,-7,6.65,67,0,"Easterby, T D",Carlisle,Female
5,0,0,1,20,-100,-100,4.75,1.48,1,20,-2.74,2.47,51,0,"Easterby, T D",Redcar,Female
7,0,0,0,0,-100,-100,6.65,2.52,0,0,-7,6.65,34,0,"Easterby, T D",Ripon,Female
12,0,0,1,8.33,-100,-100,11.4,1.06,1,8.33,-5.49,4.65,67,0,"Easterby, T D",Thirsk,Female
7,0,0,0,0,-100,-100,6.65,1.18,0,0,-7,6.65,67,0,"Elsworth, D R C",Newmarket (July),Female
5,0,0,0,0,-100,-100,4.75,1.44,0,0,-5,4.75,67,0,"Evans, P D",Chepstow,Female
5,0,0,1,20,-100,-100,4.75,1.92,1,20,-3.03,2.78,51,0,"Evans, P D",Lingfield,Female
8,0,0,0,0,-100,-100,7.6,1.03,0,0,-8,7.6,101,0,"Evans, P D",Wolverhampton,Female
6,0,0,2,33.33,-100,-100,5.7,7.55,2,33.33,0.8,-1.25,21,0,"Fahey, R A",Catterick,Female
8,0,0,2,25,-100,-100,7.6,5.56,2,25,3.55,-4.35,19,0,"Fahey, R A",Doncaster,Female
12,0,0,2,16.67,-100,-100,11.4,1.76,2,16.67,-3.97,3.15,81,0,"Fahey, R A",Newcastle,Female
5,0,0,2,40,-100,-100,4.75,5.39,2,40,-1.89,1.68,21,0,"Fahey, R A",Wolverhampton,Female
8,0,0,2,25,-100,-100,7.6,6.35,2,25,-2.02,1.51,26,0,"Fahey, R A",York,Female
10,0,0,2,20,-100,-100,9.5,1.78,2,20,13.33,-14.85,67,0,"Fanshawe, J R",Kempton,Female
11,0,0,4,36.36,-100,-100,10.45,6.47,4,36.36,-3.29,2.74,34,0,"Gosden, J H M",Chelmsford City,Female
5,0,0,1,20,-100,-100,4.75,10.52,1,20,-2.79,2.53,15,0,"Gosden, J H M",Lingfield,Female
6,2,33.33,3,50,62.5,72.35,-4.98,-9.88,3,50,-1.1,0.85,19,1.18,"Gosden, J H M",Newcastle,Female
8,0,0,1,12.5,-100,-100,7.6,7.54,1,12.5,-5.4,4.97,17,0,"Gosden, J H M",Wolverhampton,Female
6,0,0,3,50,-100,-100,5.7,12.32,3,50,0.12,-0.43,11,0,"Gosden, J H M",Yarmouth,Female
6,2,33.33,5,83.33,125,166.88,-10.95,-17.39,5,83.33,7.52,-8.02,13,2.25,"Haggas, W J",Lingfield,Female
6,0,0,2,33.33,-100,-100,5.7,6.24,2,33.33,-1.2,0.85,21,0,"Haggas, W J",Newmarket (July),Female
10,5,50,5,50,20.3,18.5,-2.46,-5.37,6,60,-1.92,1.61,15,1.61,"Haggas, W J",Yarmouth,Female
13,0,0,4,30.77,-100,-100,12.35,2.27,4,30.77,4.52,-5.68,67,0,"Halford, M",Dundalk,Female
5,0,0,0,0,-100,-100,4.75,1.12,0,0,-5,4.75,51,0,"Halford, M",Naas,Female
6,0,0,1,16.67,-100,-100,5.7,3.69,1,16.67,-3.26,2.92,34,0,"Hannon (Jnr), Richard",Goodwood,Female
13,0,0,2,15.38,-100,-100,12.35,2.7,2,15.38,-6.28,5.48,41,0,"Hannon (Jnr), Richard",Kempton,Female
10,0,0,3,30,-100,-100,9.5,4.12,4,40,1.16,-1.84,51,0,"Hannon (Jnr), Richard",Newmarket (July),Female
13,0,0,4,30.77,-100,-100,12.35,5.36,4,30.77,-4.85,4.18,41,0,"Hannon (Jnr), Richard",Salisbury,Female
10,0,0,1,10,-100,-100,9.5,2.11,1,10,-4.97,4.31,67,0,"Hannon (Jnr), Richard",Windsor,Female
9,0,0,1,11.11,-100,-100,8.55,3.84,1,11.11,-3.25,2.6,26,0,"Harrington, Mrs John",Fairyhouse,Female
5,2,40,3,60,200,283.14,-15.21,-22.17,3,60,1.48,-1.76,17,3.51,"Harrington, Mrs John",Gowran Park,Female
5,0,0,0,0,-100,-100,4.75,0.4,0,0,-5,4.75,126,0,"Haslam, B M R",Newcastle,Female
8,0,0,3,37.5,-100,-100,7.6,1.55,3,37.5,1.62,-2.22,81,0,"Hills, Charles",Goodwood,Female
6,0,0,1,16.67,-100,-100,5.7,2.81,1,16.67,-4.38,4.1,34,0,"Hills, Charles",Lingfield,Female
8,0,0,1,12.5,-100,-100,7.6,2.01,1,12.5,-3.77,3.25,34,0,"Hills, Charles",Newbury,Female
6,0,0,2,33.33,-100,-100,5.7,2.13,2,33.33,2.83,-3.39,51,0,"Houghton, Eve Johnson",Kempton,Female
6,0,0,0,0,-100,-100,5.7,4.87,0,0,-6,5.7,26,0,"Houghton, Eve Johnson",Lingfield,Female
5,0,0,0,0,-100,-100,4.75,0.71,0,0,-5,4.75,51,0,"Hughes, Jo",Lingfield,Female
8,0,0,3,37.5,-100,-100,7.6,1.62,3,37.5,35,-37.36,51,0,"Hughes, Richard",Lingfield,Female
5,0,0,1,20,-100,-100,4.75,1.29,1,20,-1.58,1.25,67,0,"Hughes, Richard",Windsor,Female
5,0,0,0,0,-100,-100,4.75,0.83,0,0,-5,4.75,67,0,"Ivory, D K",Kempton,Female
6,2,33.33,4,66.67,75,105.44,-7.07,-13.98,4,66.67,2.44,-2.77,17,2.17,"Johnston, M",Beverley,Female
5,0,0,1,20,-100,-100,4.75,14.25,1,20,-3.19,2.95,9,0,"Johnston, M",Carlisle,Female
6,3,50,3,50,91.67,100.1,-6.63,-20.15,3,50,-0.86,0.6,11,2.4,"Johnston, M",Catterick,Female
6,2,33.33,3,50,41.67,61.58,-4.3,-9.36,3,50,0.2,-0.52,17,1.96,"Johnston, M",Doncaster,Female
9,0,0,3,33.33,-100,-100,8.55,4.97,3,33.33,-2.04,1.53,34,0,"Johnston, M",Kempton,Female
6,2,33.33,3,50,146.67,426.38,-27.34,-21.68,3,50,2.32,-2.75,26,1.74,"Johnston, M",Lingfield,Female
9,0,0,6,66.67,-100,-100,8.55,5.34,6,66.67,16.43,-17.6,34,0,"Johnston, M",Wolverhampton,Female
5,0,0,2,40,-100,-100,4.75,1.53,2,40,27.4,-29.15,51,0,"Kirk, S",Kempton,Female
6,0,0,0,0,-100,-100,5.7,1.29,0,0,-6,5.7,51,0,"Lavery, Ms Sheila",Naas,Female
6,0,0,0,0,-100,-100,5.7,0.29,0,0,-6,5.7,201,0,"Loughnane, Daniel Mark",Wolverhampton,Female
6,0,0,0,0,-100,-100,5.7,0.65,0,0,-6,5.7,101,0,"Loughnane, David",Haydock,Female
6,0,0,0,0,-100,-100,5.7,0.44,0,0,-6,5.7,201,0,"Loughnane, David",Wolverhampton,Female
10,3,30,7,70,48.3,44.38,-5.39,-6.09,7,70,13.77,-14.8,17,1.99,"Lyons, G M",Curragh,Female
7,0,0,5,71.43,-100,-100,6.65,4.09,5,71.43,9.9,-10.63,34,0,"McCreery, W",Curragh,Female
6,0,0,0,0,-100,-100,5.7,1.11,0,0,-6,5.7,51,0,"McCreery, W",Gowran Park,Female
8,0,0,0,0,-100,-100,7.6,3.14,0,0,-8,7.6,34,0,"McCreery, W",Naas,Female
6,0,0,0,0,-100,-100,5.7,2.49,0,0,-6,5.7,34,0,"McCreery, W",Navan,Female
6,0,0,0,0,-100,-100,5.7,0.81,0,0,-6,5.7,101,0,"Millman, B R",Salisbury,Female
6,0,0,1,16.67,-100,-100,5.7,1.28,1,16.67,-2.77,2.4,67,0,"Millman, B R",Windsor,Female
6,0,0,0,0,-100,-100,5.7,0.57,0,0,-6,5.7,101,0,"Moore, J S",Windsor,Female
7,0,0,1,14.29,-100,-100,6.65,3.35,1,14.29,-2.11,1.6,51,0,"Morrison, H",Newbury,Female
6,0,0,2,33.33,-100,-100,5.7,1.38,2,33.33,1.75,-2.25,67,0,"Murphy, Amy",Lingfield,Female
5,0,0,0,0,-100,-100,4.75,1.15,0,0,-5,4.75,67,0,"Murray, Adrian",Dundalk,Female
6,0,0,1,16.67,-100,-100,5.7,1.12,1,16.67,14.95,-16.25,51,0,"Murtagh, J P",Curragh,Female
11,0,0,1,9.09,-100,-100,10.45,1.54,1,9.09,-0.05,-0.97,51,0,"Murtagh, J P",Naas,Female
7,0,0,0,0,-100,-100,6.65,5.48,0,0,-7,6.65,21,0,"OBrien, A P",Cork,Female
27,1,3.7,7,25.93,-79.63,-79.06,19.8,5.9,7,25.93,-10.56,9.06,21,0.26,"OBrien, A P",Curragh,Female
5,2,40,2,40,180,242.1,-13.05,-17.56,2,40,0.22,-0.54,19,2.82,"OBrien, A P",Dundalk,Female
5,0,0,0,0,-100,-100,4.75,2.53,0,0,-5,4.75,34,0,"OBrien, Joseph Patrick",Gowran Park,Female
9,0,0,2,22.22,-100,-100,8.55,3.13,2,22.22,2.79,-3.65,51,0,"OBrien, Joseph Patrick",Naas,Female
5,0,0,1,20,-100,-100,4.75,1.85,1,20,-2.7,2.43,51,0,"OMeara, D",Catterick,Female
6,0,0,2,33.33,-100,-100,5.7,4.3,2,33.33,3.57,-4.17,26,0,"OMeara, D",Ripon,Female
7,0,0,1,14.29,-100,-100,6.65,2.48,1,14.29,-3.39,2.95,67,0,"Osborne, J A",Chelmsford City,Female
5,2,40,2,40,480,790.06,-41.89,-30.51,2,40,5.97,-6.59,23,5.41,"Osborne, J A",Windsor,Female
7,0,0,0,0,-100,-100,6.65,1.71,0,0,-7,6.65,34,0,"Oxx, John M",Curragh,Female
8,0,0,0,0,-100,-100,7.6,3.67,0,0,-8,7.6,34,0,"Palmer, Hugo",Kempton,Female
5,0,0,0,0,-100,-100,4.75,7.3,0,0,-5,4.75,17,0,"Palmer, Hugo",Lingfield,Female
6,0,0,0,0,-100,-100,5.7,0.49,0,0,-6,5.7,101,0,"Pears, Ollie",Beverley,Female
5,0,0,0,0,-100,-100,4.75,0.31,0,0,-5,4.75,151,0,"Pears, Ollie",Thirsk,Female
8,0,0,0,0,-100,-100,7.6,0.46,0,0,-8,7.6,151,0,"Portman, J G",Kempton,Female
5,0,0,0,0,-100,-100,4.75,1.29,0,0,-5,4.75,34,0,"Portman, J G",Lingfield,Female
9,0,0,2,22.22,-100,-100,8.55,1.05,2,22.22,0.54,-1.29,101,0,"Portman, J G",Newbury,Female
7,0,0,0,0,-100,-100,6.65,1.64,0,0,-7,6.65,51,0,"Portman, J G",Windsor,Female
5,0,0,0,0,-100,-100,4.75,1.69,0,0,-5,4.75,34,0,"Prendergast, P J",Curragh,Female
5,0,0,1,20,-100,-100,4.75,1.93,1,20,-3.03,2.78,51,0,"Prescott, Sir Mark",Chelmsford City,Female
5,0,0,2,40,-100,-100,4.75,5.61,2,40,0.15,-0.47,21,0,"Quinn, J J",Catterick,Female
6,0,0,0,0,-100,-100,5.7,1.53,0,0,-6,5.7,67,0,"Quinn, J J",Newcastle,Female
7,0,0,2,28.57,-100,-100,6.65,5.66,2,28.57,-2.71,2.34,34,0,"Ryan, K A",Beverley,Female
5,0,0,2,40,-100,-100,4.75,3.86,2,40,2,-2.41,26,0,"Ryan, K A",Newcastle,Female
5,2,40,2,40,195,249.7,-13.45,-20.2,2,40,-0.58,0.3,21,3.23,"Simcock, D M",Lingfield,Female
6,0,0,0,0,-100,-100,5.7,2.55,0,0,-6,5.7,34,0,"Simcock, D M",Newmarket (Rowley),Female
5,0,0,0,0,-100,-100,4.75,3.19,0,0,-5,4.75,41,0,"Simcock, D M",Nottingham,Female
5,0,0,0,0,-100,-100,4.75,0.37,0,0,-5,4.75,101,0,"Slevin, Nigel",Naas,Female
10,0,0,0,0,-100,-100,9.5,4.14,0,0,-10,9.5,26,0,"Stack, J A",Curragh,Female
7,0,0,2,28.57,-100,-100,6.65,4.11,2,28.57,-2.76,2.39,34,0,"Stoute, Sir Michael",Chelmsford City,Female
5,0,0,2,40,-100,-100,4.75,9.57,3,60,4.65,-5.1,12,0,"Stoute, Sir Michael",Newbury,Female
6,0,0,0,0,-100,-100,5.7,3.93,0,0,-6,5.7,26,0,"Stoute, Sir Michael",Newmarket (Rowley),Female
5,0,0,1,20,-100,-100,4.75,3.57,1,20,-3.22,2.98,26,0,"Tate, James",Kempton,Female
5,0,0,2,40,-100,-100,4.75,6.13,2,40,0.74,-1.09,21,0,"Tate, James",Newmarket (Rowley),Female
6,0,0,1,16.67,-100,-100,5.7,6.39,1,16.67,-4.79,4.53,26,0,"Tate, James",Yarmouth,Female
6,0,0,0,0,-100,-100,5.7,1.67,0,0,-6,5.7,51,0,"Tinkler, N",Beverley,Female
5,0,0,1,20,-100,-100,4.75,0.79,1,20,9.78,-10.7,101,0,"Tinkler, N",Redcar,Female
5,0,0,0,0,-100,-100,4.75,0.13,0,0,-5,4.75,151,0,"Tompkins, M H",Yarmouth,Female
6,0,0,1,16.67,-100,-100,5.7,1.18,1,16.67,-3.5,3.17,67,0,"Tuite, Joseph",Windsor,Female
5,0,0,0,0,-100,-100,4.75,0.8,0,0,-5,4.75,51,0,"Turner, W G M",Lingfield,Female
5,0,0,2,40,-100,-100,4.75,14.54,2,40,-1.03,0.78,9,0,"Varian, Roger",Ascot,Female
5,0,0,1,20,-100,-100,4.75,12.53,1,20,-3.36,3.13,11,0,"Varian, Roger",Doncaster,Female
15,5,33.33,8,53.33,82.8,110.22,-18.43,-11.28,8,53.33,2.25,-3.09,19,1.96,"Varian, Roger",Kempton,Female
7,0,0,3,42.86,-100,-100,6.65,3.15,3,42.86,5.77,-6.48,34,0,"Varian, Roger",Newmarket (July),Female
7,3,42.86,5,71.43,321.43,522.36,-38.9,-52.58,5,71.43,7.45,-8.05,21,2.33,"Varian, Roger",Newmarket (Rowley),Female
5,2,40,4,80,105,120.5,-6.65,-5.08,4,80,6.87,-7.33,41,2.3,"Varian, Roger",Yarmouth,Female
5,0,0,1,20,-100,-100,4.75,4.04,1,20,-0.9,0.54,26,0,"Walker, Ed",Lingfield,Female
6,0,0,1,16.67,-100,-100,5.7,6.9,1,16.67,-2.58,2.2,19,0,"Watson, Archie",Newcastle,Female
5,0,0,2,40,-100,-100,4.75,3.33,2,40,1.46,-1.84,51,0,"Weld, D K",Gowran Park,Female
6,0,0,1,16.67,-100,-100,5.7,3.51,1,16.67,-0.86,0.39,26,0,"Weld, D K",Naas,Female
6,0,0,0,0,-100,-100,5.7,0.51,0,0,-6,5.7,101,0,"Williams, S C",Newmarket (Rowley),Female
6,0,0,0,0,-100,-100,5.7,1.03,0,0,-6,5.7,51,0,"Williams, S C",Yarmouth,Female
6,3,50,4,66.67,52.17,62.58,-4.26,-42.47,4,66.67,0.7,-0.94,3.5,1.16,"Appleby, Charlie",Ascot,Male
10,4,40,6,60,2,18.09,-2.52,-6.3,6,60,-0.44,0.05,7,1.26,"Appleby, Charlie",Kempton,Male
22,7,31.82,17,77.27,6.5,6.44,-3.03,-3.63,17,77.27,6.98,-7.86,9,1.04,"Appleby, Charlie",Newmarket (July),Male
12,5,41.67,7,58.33,131.92,149.56,-19.61,-17.64,7,58.33,3.43,-4.12,21,2.18,"Appleby, Charlie",Newmarket (Rowley),Male
6,0,0,1,16.67,-100,-100,5.7,0.25,1,16.67,42.71,-45.47,101,0,"Attwater, M J",Kempton,Male
5,0,0,0,0,-100,-100,4.75,0.61,0,0,-5,4.75,67,0,"Baker, George",Lingfield,Male
6,0,0,2,33.33,-100,-100,5.7,3.19,2,33.33,5.54,-6.24,34,0,"Balding, A M",Chelmsford City,Male
5,0,0,3,60,-100,-100,4.75,4.48,3,60,6.19,-6.72,34,0,"Balding, A M",Newmarket (July),Male
